slug,artist,product_name,category,version,description,price_php,source_price,source_currency,stock_status,release_date,expected_stock_date,goods_code,goods_no,source_url,image_url,source_name,verified_at,verification_status,source_url_verified,image_url_verified
itzy-twinzy-plush-hug-ver,ITZY,TWINZY PLUSH HUG Ver.,Collectable,HUG Ver.,Official merchandise collectible; see verified Ktown4u source page for exact inclusions/options.,1312.18,21.37,USD,Preorder,2026-11-18,2026-11-25,GD00167786,167786,https://www.ktown4u.com/iteminfo?goods_no=167786,https://media.ktown4u.com/products/resize/thumbnail/2026/08/07/qNgGeW.jpg,Ktown4u,2026-08-14,VERIFIED,YES,YES
itzy-twinzy-plush-voice-ver,ITZY,TWINZY PLUSH VOICE Ver.,Collectable,VOICE Ver.,Official merchandise collectible; see verified Ktown4u source page for exact inclusions/options.,1514.20,24.66,USD,Preorder,2026-11-18,2026-11-25,GD00167785,167785,https://www.ktown4u.com/iteminfo?goods_no=167785,https://media.ktown4u.com/products/resize/thumbnail/2026/08/07/F7ngq0.jpg,Ktown4u,2026-08-14,VERIFIED,YES,YES
itzy-2-way-string-necklace,ITZY,2-WAY STRING NECKLACE,Collectable,Standard,Official merchandise collectible; see verified Ktown4u source page for exact inclusions/options.,1614.90,26.3,USD,Preorder,2026-11-18,2026-11-25,GD00167781,167781,https://www.ktown4u.com/iteminfo?goods_no=167781,https://media.ktown4u.com/products/resize/thumbnail/2026/08/07/LNISvp.jpg,Ktown4u,2026-08-14,VERIFIED,YES,YES
itzy-twinzy-coin-case-keyring,ITZY,TWINZY COIN CASE KEYRING,Collectable,Standard,Official merchandise collectible; see verified Ktown4u source page for exact inclusions/options.,606.05,9.87,USD,Preorder,2026-11-18,2026-11-25,GD00167763,167763,https://www.ktown4u.com/iteminfo?goods_no=167763,https://media.ktown4u.com/products/resize/thumbnail/2026/08/07/zklgFd.jpg,Ktown4u,2026-08-14,VERIFIED,YES,YES
aespa-synk-complaexity-magnet-doll,aespa,SYNK: COMPLaeXITY MAGNET DOLL,Collectable,Standard,Official merchandise collectible; see verified Ktown4u source page for exact inclusions/options.,1917.62,31.23,USD,Preorder,2026-11-02,2026-11-02,GD00167547,167547,https://www.ktown4u.com/iteminfo?goods_no=167547,https://media.ktown4u.com/products/resize/thumbnail/2026/08/03/MyuKqK.png,Ktown4u,2026-08-14,VERIFIED,YES,YES
aespa-synk-complaexity-pin-button-set,aespa,SYNK: COMPLaeXITY PIN BUTTON SET,Collectable,Standard,Official merchandise collectible; see verified Ktown4u source page for exact inclusions/options.,757.10,12.33,USD,Preorder,2026-11-02,2026-11-02,GD00167536,167536,https://www.ktown4u.com/iteminfo?goods_no=167536,https://media.ktown4u.com/products/resize/thumbnail/2026/08/03/jYg2ov.png,Ktown4u,2026-08-14,VERIFIED,YES,YES
aespa-synk-complaexity-card-wallet,aespa,SYNK: COMPLaeXITY CARD WALLET,Collectable,Standard,Official merchandise collectible; see verified Ktown4u source page for exact inclusions/options.,1917.62,31.23,USD,Preorder,2026-11-02,2026-11-02,GD00167538,167538,https://www.ktown4u.com/iteminfo?goods_no=167538,https://media.ktown4u.com/products/resize/thumbnail/2026/08/03/V21Zaa.png,Ktown4u,2026-08-14,VERIFIED,YES,YES
aespa-synk-complaexity-good-luck-doll-keyring,aespa,SYNK: COMPLaeXITY GOOD LUCK DOLL KEYRING,Collectable,Standard,Official merchandise collectible; see verified Ktown4u source page for exact inclusions/options.,857.80,13.97,USD,Preorder,2026-11-02,2026-11-02,GD00167548,167548,https://www.ktown4u.com/iteminfo?goods_no=167548,https://media.ktown4u.com/products/resize/thumbnail/2026/08/03/Tdx4LW.png,Ktown4u,2026-08-14,VERIFIED,YES,YES
hearts2hearts-lemon-mini-doll-keyring,Hearts2Hearts,LEMON MINI DOLL KEYRING,Collectable,Standard,Official merchandise collectible; see verified Ktown4u source page for exact inclusions/options.,857.80,13.97,USD,Preorder,2026-09-14,2026-09-14,GD00165518,165518,https://www.ktown4u.com/iteminfo?eve_no=44470304&goods_no=165518&grp_no=44476699,https://media.ktown4u.com/products/resize/thumbnail/2026/06/29/OIoUG3.png,Ktown4u,2026-08-14,VERIFIED,YES,YES
hearts2hearts-umbrella,Hearts2Hearts,UMBRELLA,Collectable,Standard,Official merchandise collectible; see verified Ktown4u source page for exact inclusions/options.,1967.97,32.05,USD,Preorder,2026-09-14,2026-09-14,GD00165405,165405,https://www.ktown4u.com/iteminfo?goods_no=165405,https://media.ktown4u.com/products/resize/thumbnail/2026/06/29/b9OvG0.png,Ktown4u,2026-08-14,VERIFIED,YES,YES
exo-exo-mungchiz-rosette,EXO,EXO-MUNGCHIZ ROSETTE,Collectable,Standard,Official merchandise collectible; see verified Ktown4u source page for exact inclusions/options.,606.05,9.87,USD,Preorder,2026-10-23,2026-10-23,GD00167339,167339,https://www.ktown4u.com/iteminfo?goods_no=167339,https://media.ktown4u.com/products/resize/thumbnail/2026/07/29/Gv8t8T.png,Ktown4u,2026-08-14,VERIFIED,YES,YES
exo-exo-mungchiz-magnetic-smarttok,EXO,EXO-MUNGCHIZ MAGNETIC SMARTTOK,Collectable,Standard,Official merchandise collectible; see verified Ktown4u source page for exact inclusions/options.,908.76,14.8,USD,Preorder,2026-10-23,2026-10-23,GD00167336,167336,https://www.ktown4u.com/iteminfo?goods_no=167336,https://media.ktown4u.com/products/resize/thumbnail/2026/07/29/KTGt7T.png,Ktown4u,2026-08-14,VERIFIED,YES,YES
exo-exo-mungchiz-tablet-pouch,EXO,EXO-MUNGCHIZ TABLET POUCH,Collectable,Standard,Official merchandise collectible; see verified Ktown4u source page for exact inclusions/options.,1917.62,31.23,USD,Preorder,2026-10-23,2026-10-23,GD00167330,167330,https://www.ktown4u.com/iteminfo?goods_no=167330,https://media.ktown4u.com/products/resize/thumbnail/2026/07/29/AOYrAB.png,Ktown4u,2026-08-14,VERIFIED,YES,YES
exo-exo-mungchiz-room-shoes,EXO,EXO-MUNGCHIZ ROOM SHOES,Collectable,Standard,Official merchandise collectible; see verified Ktown4u source page for exact inclusions/options.,1614.90,26.3,USD,Preorder,2026-10-23,2026-10-23,GD00167331,167331,https://www.ktown4u.com/iteminfo?goods_no=167331,https://media.ktown4u.com/products/resize/thumbnail/2026/07/29/n9AoUc.png,Ktown4u,2026-08-14,VERIFIED,YES,YES
red-velvet-12th-anniversary-glass-cup-set,Red Velvet,12TH ANNIVERSARY GLASS CUP SET,Collectable,Standard,Official merchandise collectible; see verified Ktown4u source page for exact inclusions/options.,2270.68,36.98,USD,Preorder,2026-09-22,2026-09-22,GD00167427,167427,https://www.ktown4u.com/iteminfo?goods_no=167427,https://media.ktown4u.com/products/resize/thumbnail/2026/07/31/X1IVFc.jpg,Ktown4u,2026-08-14,VERIFIED,YES,YES
